,지역,인구밀도_2018,인구밀도_2019,인구밀도_2020,인구밀도_2021
9,강원,90.3,90.3,90.4,90.4
8,경기,1286.2,1305.0,1325.3,1338.9
15,경남,317.9,317.6,316.2,313.6
14,경북,140.4,140.2,138.9,138.4
4,광주,2973.2,2972.7,2948.5,2944.0
2,대구,2766.7,2750.3,2728.6,2702.2
5,대전,2801.0,2777.5,2758.1,2742.8
1,부산,4409.8,4379.7,4348.9,4316.4
0,서울,15983.7,15926.9,15839.0,15650.1
7,세종,671.9,727.3,761.3,787.7
6,울산,1083.4,1076.9,1069.0,1055.0
3,인천,2761.4,2776.6,2765.1,2772.8
13,전남,145.0,144.8,144.9,143.9
12,전북,225.3,224.0,223.4,221.4
16,제주,355.8,359.4,362.6,363.8
11,충남,265.1,265.4,264.0,263.8
10,충북,218.8,220.0,220.3,219.4
