지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(null),소형일최대증발량(null),대형총증발량(null),대형일최대증발량(null),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(null),평균중하층운량(null),일조시간합(null),일조율(null),전천일사합(null),최심적설(null),최심신적설(null),3시간신적설합(null),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
165,2018-01,.1,3.3,-2.8,10.3,-11.3,20180115,20180124,1019.8,1024.7,1034,1010.5,20180113,20180108,5.3,10.4,1.6,20180115,20180124,-2.6,83,41,20180119,58,21.6,,,20180116,,,37.8,2,24.7,1.4,20180122,20180122,4.2,14,21.4,320,320,20180110,20180109,6.3,5.4,166,52.88,238.42,21.2,15.5,48.4,20180111,20180110,-3.3,-10.6,20180124,2.4,3.6,3.6,4.5,5,5.8,7.8,9.7,13.8,17.1
165,2018-02,1.1,4.8,-2.1,13.4,-9.2,20180227,20180207,1019.3,1024.1,1031.3,993.9,20180202,20180228,5.2,11.9,2.5,20180228,20180221,-3,76,30,20180218,39.3,19.3,,,20180228,,,48.6,2.8,34.5,2,20180226,20180226,4.2,13.7,20.6,360,340,20180228,20180228,5.4,3.9,167.9,54.85,266.79,18.3,11.8,32.7,20180206,20180205,-3.7,-9,20180207,3.2,3.6,3.4,3.9,4.3,4.8,6.3,7.9,11.7,15.6
165,2018-03,8.6,13.5,4.4,22.4,-2.2,20180331,20180302,1015.6,1020.3,1030.2,1004.6,20180307,20180305,9.8,18.1,3.1,20180304,20180302,6,86,32,20180331,152.7,56.3,,,20180315,,,73.6,4.8,51.7,3.4,20180331,20180331,3.1,14.2,18,340,360,20180301,20180301,5.3,4.4,196.1,52.83,383.44,0,0,0,20180321,20180321,2.8,-4.4,20180310,10.7,10.3,9.9,9.7,9.6,9.7,9.5,9.7,11.3,14.1
165,2018-04,13.7,18.3,9.6,24.3,2.3,20180402,20180407,1011.6,1016.1,1023.4,1003.7,20180413,20180414,12.9,24.7,4.2,20180422,20180407,10,81,23,20180413,169,58.7,17.8,5.4,20180423,20180423,20180423,110.3,5.4,77,3.8,20180428,20180428,3.7,16.4,22.2,320,320,20180406,20180406,5.1,3.6,219.3,55.92,482.24,,,,,,7.3,.6,20180408,16.4,15.2,14.8,14.5,14.3,14.4,13.6,13.1,12.7,12.5
165,2018-05,18.2,22.4,14.7,27.3,10.7,20180515,20180511,1007.5,1012,1025.4,1002.8,20180510,20180507,16.1,27.7,7,20180515,20180520,13.6,78,19,20180520,89.3,26.9,8.7,6.3,20180507,20180507,20180502,136.4,7.9,95.5,5.6,20180526,20180526,3.3,12.4,18.7,340,340,20180503,20180503,6.3,4.1,167.8,38.69,532.37,,,,,,12.8,7.2,20180511,20.7,,19.3,18.9,18.3,18.7,17.3,16.4,14.9,14.5
165,2018-06,22.6,26.9,19.4,31.7,15.5,20180625,20180601,1003.9,1008.3,1016.8,999,20180602,20180628,20.5,29.7,12.4,20180626,20180602,17.7,76,31,20180622,162,111.7,37.7,12.7,20180628,20180628,20180628,171.6,9.2,120.4,6.5,20180602,20180602,3,10.5,16,250,250,20180627,20180627,5.9,3.4,212.3,48.93,624.44,,,,,,17.6,12.3,20180601,27.5,,25.4,24.8,24.3,24,21.9,20.3,17.4,15.8
165,2018-07,27.7,31.5,24.8,35.6,20.7,20180721,20180701,1004.1,1008.4,1015.9,993,20180711,20180703,28.5,35,19.6,20180728,20180708,23.1,78,44,20180731,67.6,47.9,26.1,9.4,20180701,20180701,20180701,199.9,8.7,140.5,6.1,20180723,20180723,2.9,10.1,15.1,200,200,20180702,20180701,4.4,3.3,268.6,60.84,673.26,,,,,,23,18.9,20180707,33,30,29.2,28.5,27.5,27.6,25.3,23.5,20,17.2
165,2018-08,28.7,32.8,25.8,36.7,22.4,20180802,20180818,1002.7,1007,1013.6,982.3,20180828,20180823,28.9,35.4,17.3,20180810,20180818,23.4,75,37,20180801,246.2,151.9,36.1,15.6,20180823,20180831,20180831,190.3,8.6,133.2,6,20180819,20180819,3.2,11.4,16,320,340,20180824,20180824,6,3.4,245.1,58.78,573.11,,,,,,24.4,21.2,20180818,34.6,31.9,31.3,30.8,30.2,30.3,28.5,27,22.9,18.9
165,2018-09,22.3,26.1,19.3,30.1,14.3,20180903,20180925,1008.6,1012.9,1021.3,996,20180911,20180904,19.9,31.5,10.2,20180903,20180930,17,74,30,20180918,151.4,75.1,35.2,7.4,20180904,20180904,20180921,137.9,8.5,96.7,6,20180930,20180930,2.8,12.7,16.9,360,360,20180930,20180930,6.4,3.7,175.6,47.19,454.79,,,,,,17,10.1,20180925,24.3,24.3,24.1,24.5,24.5,25.1,25.3,25.2,23.8,20.7
165,2018-10,15.5,19.6,12,26.2,7.3,20181004,20181031,1014.5,1019,1027.5,990.8,20181020,20181006,12,22.1,7.2,20181005,20181027,9.3,68,31,20181021,138.4,91.8,11.2,4.3,20181005,20181006,20181005,132.1,6.8,92,4.7,20181001,20181001,3.7,17.4,23.9,360,50,20181006,20181006,4.4,2.9,237.3,67.65,437.14,,,,,,8.1,3,20181031,17.3,17.6,17.5,18.4,18.8,19.4,20.7,21.6,22.4,21.1
