지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
165,2020-01,3.6,6.3,1.3,16.2,-4.5,20200107,20200101,1017.8,1022.6,1033.7,1004.3,20200101,20200107,5.8,16.3,2.8,20200107,20200117,-1.2,72,29,20200121,72,29.9,,,20200107,,,55,3,38.4,2.1,20200120,20200120,3.8,14.8,20.3,230,250,20200107,20200107,6.7,5,124.8,39.77,234.89,,,,,,.3,-6.5,20200101,4.8,5.1,5.6,5.9,6.3,6.8,8.8,10.3,14.2,16.7
165,2020-02,4.2,7.8,.7,15.7,-7.2,20200215,20200206,1019.5,1024.2,1035,1011.1,20200206,20200225,6.3,14.8,2,20200225,20200207,-.4,74,38,20200206,28.9,6.6,,,20200215,,,63.1,3.4,44.3,2.4,20200221,20200221,3.7,12.6,20.6,340,360,20200217,20200217,5.6,4,176.6,55.67,329.43,3.1,2.2,4.2,20200217,20200216,-.8,-7.6,20200206,6.1,6,6.5,6.5,6.8,6.9,8.3,9.4,12.7,15.4
165,2020-03,7.4,11.6,3.7,19.3,-2.4,20200321,20200306,1013.3,1018.1,1027.7,1005.4,20200305,20200310,7,16.9,2.7,20200326,20200306,1.2,67,18,20200318,28.8,11.1,,,20200326,,,118.8,6,83.2,4.2,20200325,20200325,4.3,12.4,19.2,340,340,20200315,20200315,4.5,3.1,238.5,64.13,526.44,,,,,,1.8,-5.2,20200306,10.4,9.2,9.4,9.3,9.4,9.3,9.7,10.2,12.2,14.5
165,2020-04,10.3,14.4,6.8,22.1,2.5,20200430,20200406,1013.3,1018.7,1027,1007,20200410,20200419,7.9,16.9,3.2,20200430,20200405,3,64,17,20200427,60.9,30,6.3,1.4,20200419,20200419,20200419,159.8,8,112.2,5.6,20200429,20200429,4.3,12,15.9,340,340,20200404,20200404,3.8,2.2,290.5,74.03,664.15,,,,,,4.4,-.8,20200406,13.9,12.4,12.5,12.2,12.3,11.9,11.9,11.9,12.6,14.1
165,2020-05,17.2,21.2,13.9,25.1,11.1,20200530,20200505,1005.6,1010.9,1019.3,995.7,20200513,20200518,15.3,22.1,6,20200518,20200513,13,79,23,20200507,141.4,54.3,20.5,5.7,20200503,20200503,20200503,143.2,9.9,100.5,6.9,20200507,20200507,3.5,9.8,14.9,270,270,20200519,20200519,6,3.9,204.8,47.19,578.61,,,,,,11.7,7.7,20200508,20.5,19,18.9,18.4,18.1,17.7,16.1,15,13.7,14.1
165,2020-06,22.2,25.9,19.4,31.1,15.2,20200608,20200602,1001.7,1006.8,1016.5,987.2,20200608,20200630,22.3,28.4,12.2,20200611,20200602,19.1,85,31,20200608,261.5,65.2,32.7,12.2,20200618,20200613,20200613,146.7,9.5,102.7,6.6,20200608,20200608,2.8,10.4,15.1,270,270,20200630,20200630,6.6,3.9,208.5,48.03,578.39,,,,,,16.8,9.6,20200602,25.9,24.2,24,23.5,23.1,22.6,20.4,18.8,15.9,14.7
165,2020-07,23,25.5,21,29.9,18.3,20200730,20200704,1001.6,1006.7,1015.8,994.7,20200731,20200724,24.8,34,17.3,20200730,20200701,20.8,88,52,20200701,366.3,116.3,50.5,12.1,20200710,20200710,20200713,102.3,6.7,71.5,4.7,20200701,20200701,2.9,10.5,16.4,230,250,20200723,20200724,8.4,5.8,98.4,22.3,398.94,,,,,,19.4,15.8,20200702,24.9,24.1,24,23.7,23.4,23.1,21.8,20.7,17.9,15.9
165,2020-08,27.7,30.8,25.4,33.3,23.8,20200824,20200821,1004,1009,1015.2,991.5,20200821,20200826,30.4,35.2,24.4,20200805,20200819,24.3,83,54,20200819,206.4,90.9,28.5,13.9,20200807,20200807,20200807,157,7.5,109.8,5.2,20200815,20200815,3.5,13.8,24.4,180,180,20200826,20200826,6.1,3.8,208.1,50,522.89,,,,,,24.5,23,20200821,30.7,27.8,27.9,27.3,27.1,26.4,24.5,22.9,19.4,17
165,2020-09,21.9,25.1,19.2,31.2,15.6,20200901,20200929,1006.6,1011.8,1019.2,986.4,20200921,20200903,20.6,31.9,9.9,20200901,20200921,17.7,79,33,20200921,208.6,87.4,21.3,5,20200907,20200907,20200909,120.4,5.6,84,3.9,20200904,20200921,3.1,19.7,26.6,360,360,20200903,20200903,6.2,3.6,185.6,49.96,436.02,,,,,,18.4,12.5,20200929,24.4,23.3,23.8,23.7,23.8,23.4,23.4,23,20.8,18.1
165,2020-10,15.9,19.6,12.8,25,9.4,20201003,20201029,1015.2,1020.6,1027.5,1011.3,20201031,20201004,12.1,21.8,4.4,20201003,20201029,9.2,66,27,20201029,20.5,15.6,5.2,3,20201021,20201021,20201004,139.3,6.5,97.5,4.5,20201006,20201006,3.5,11.2,15.5,360,340,20201022,20201023,5.1,2.4,233.6,66.63,448.43,,,,,,9.9,5.5,20201017,18,16.5,18,18,18.2,18.7,19.9,20.1,20.3,18.7
