지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
108,2020-01,1.6,5.9,-1.7,11.9,-6.5,20200126,20200101,1012.8,1023.6,1034,997.4,20200101,20200108,3.9,10.7,1.5,20200108,20200114,-6.9,56,17,20200118,60.5,46.3,,,20200107,,,60.5,4.3,42.3,3,20200126,20200126,2.1,7,13.7,70,90,20200127,20200127,4.8,2.8,177.9,57.93,252.58,.3,.3,.3,20200119,20200119,-6.3,-12.2,20200121,1,1.4,1.8,2.4,3,3.4,5.8,8.2,14,16.4
108,2020-02,2.5,7.2,-1.3,15.6,-11.8,20200215,20200206,1014,1024.8,1036.7,1011.4,20200206,20200216,4.6,10.2,1,20200212,20200207,-5.6,58,14,20200207,53.1,16.6,,,20200225,,,67.5,3.8,47.3,2.7,20200227,20200227,2.3,8.2,14.4,320,290,20200222,20200222,4.7,3.6,185,58.99,313.44,5.5,3.9,8.6,20200217,20200216,-5.6,-15.7,20200206,3.1,3.3,3.7,3.9,4.4,4.5,5.7,7.4,12.2,15.1
108,2020-03,7.7,13.3,2.6,20.6,-2.8,20200326,20200305,1007.1,1017.6,1027.5,1000.7,20200305,20200319,4.8,15.3,1.3,20200327,20200328,-4.4,46,11,20200328,16.3,11.8,,,20200310,,,143.6,7.8,100.5,5.4,20200322,20200322,2.5,8.2,16.3,250,270,20200319,20200319,3.4,2,262.9,70.77,515.18,,,,,,-3.1,-9.2,20200306,8.9,8.3,8.3,8.1,8.4,8,7.9,8.5,11.3,14
108,2020-04,11.1,16.6,6.3,23.8,1.9,20200416,20200405,1006.7,1017,1026.4,1007.2,20200410,20200425,6.6,16.6,1.4,20200430,20200405,-.1,50,10,20200404,16.9,10.3,3.9,3,20200419,20200417,20200417,179,8.5,125.4,6,20200404,20200404,3,8.9,17,290,230,20200421,20200421,3.1,1.7,283.3,71.59,637.52,,,,,,.7,-6.4,20200406,15.4,12.8,12.8,12.8,12.6,12.2,11.7,11.5,11.8,13.5
108,2020-05,18,23.3,13.7,30,9.2,20200530,20200520,1000.1,1010.1,1018.9,992,20200514,20200518,13.5,20.5,3.3,20200502,20200508,10.9,67,11,20200508,112.4,29.8,19.8,11.5,20200518,20200518,20200518,162.6,10.1,113.8,7,20200506,20200506,2.4,7.2,16.4,70,290,20200519,20200518,6.3,4.3,177.9,40.38,564.83,,,,,,10.1,3.9,20200513,21.4,19.4,18.8,19.2,18.2,17.6,15.8,14.7,13.4,13.4
108,2020-06,23.9,29,19.9,35.4,14.8,20200622,20200602,996.2,1005.9,1016.2,989.4,20200608,20200630,19.4,24.6,11.1,20200625,20200601,16.9,68,26,20200622,139.6,64.7,15.9,4.7,20200630,20200630,20200630,188.8,10.3,132.1,7.2,20200622,20200622,2.3,7.6,14.5,50,50,20200630,20200630,5.9,3.4,206.1,46.62,603.98,,,,,,16.5,9.9,20200602,28.7,25.6,24.8,25.4,24.1,23.3,20.8,18.9,15,13.7
108,2020-07,24.1,28,21.1,32.9,17.2,20200709,20200714,996.9,1006.7,1015.1,997.6,20200731,20200724,22.7,30.6,15.4,20200731,20200703,19.4,77,34,20200703,270.4,103.1,27.1,9.3,20200723,20200729,20200729,139.2,8.5,97.4,6,20200703,20200703,2.4,8.7,16.1,50,50,20200724,20200724,7.5,5,119.4,26.62,464.55,,,,,,18.8,15.5,20200705,25.8,25.4,24.8,24.8,24.4,24.1,22.9,21.9,17.7,14.6
108,2020-08,26.5,29.3,24.4,34.5,21.5,20200826,20200823,998.6,1008.3,1014.8,993.8,20200817,20200827,29.2,34.4,23.2,20200810,20200823,23.6,85,49,20200825,675.7,102.6,32.5,14.9,20200803,20200830,20200803,99.7,7.2,69.7,5,20200826,20200826,2.3,8.3,15.6,180,140,20200803,20200827,8.1,6.2,74.7,17.76,325.97,,,,,,22.3,18.7,20200815,27,27.2,26.6,26.4,26.3,26.1,25,24.3,21.3,16.8
108,2020-09,21.4,25.6,18,29.5,13.6,20200901,20200921,1001.9,1011.8,1020.4,984.7,20200922,20200907,17.9,29.5,9.2,20200902,20200919,15.4,71,27,20200919,181.5,61,34,15.3,20200907,20200930,20200930,136.4,7.1,95.7,4.9,20200922,20200922,2.5,9.8,21.5,270,290,20200903,20200903,5.8,3.4,174.3,46.77,452.05,,,,,,14.4,7.3,20200921,22.4,23,22.6,22.9,23.5,23.7,24.4,24.4,22,17.8
108,2020-10,14.3,19.5,9.6,23.6,3.2,20201001,20201024,1010.5,1020.7,1029,1008.8,20201008,20201004,10,20.5,3.8,20201003,20201014,6.1,61,20,20201014,0,0,0,0,20201022,20201022,20201022,123.3,6.6,86.2,4.6,20201008,20201008,2.1,7.2,13.7,320,320,20201004,20201004,3.7,1.5,227.1,65.3,428.25,,,,,,4.9,-1.6,20201024,14.4,16.2,16,16.6,17.5,18.3,20.4,21.4,21.2,18.4
