지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
146,2019-01,.6,5.4,-3.8,9,-7.4,20190122,20190109,1019,1026.8,1037.6,1018.4,20190103,20190119,4.3,8,1.5,20190119,20190124,-5.2,68,17,20190124,13.2,6.6,,,20190131,,,53.5,2.6,37.5,1.9,20190129,20190124,1.6,6.8,11.9,270,290,20190120,20190115,3.9,2.9,198,63.56,309.2,3.8,3.8,4.8,20190131,20190131,-8.5,-11.6,20190118,.7,,,,,,,,,
146,2019-02,2.6,7.9,-1.8,15,-6.4,20190223,20190208,1016.8,1024.6,1036.6,1010.1,20190212,20190203,5,14.6,1.6,20190203,20190210,-3.8,66,16,20190205,39.1,20,,,20190203,,,62.1,3.5,43.5,2.4,20190223,20190226,1.7,6,10.3,230,340,20190203,20190213,5.8,2.8,169.2,55.51,341.34,2,,,20190201,,-6.6,-14.1,20190217,3.1,,,,,,,,,
146,2019-03,7.7,14.2,2.5,22.7,-1.7,20190327,20190324,1010.5,1018,1027.2,1000.7,20190308,20190320,6.9,17.7,2.7,20190321,20190313,1.1,67,21,20190309,33.1,13.2,,,20190315,,,104.7,5.7,73.1,4,20190327,20190327,2.1,8.4,16.6,270,270,20190323,20190315,5.2,3.3,206.8,55.77,487.53,,,,,,-3.4,-9.5,20190308,8.4,,,,,,,,,
146,2019-04,12.6,18.6,7.5,29,.1,20190422,20190403,1007.9,1015.3,1026,1005.2,20190403,20190424,10.3,21.4,2.7,20190424,20190402,6.2,70,16,20190416,98.5,33.3,9.5,3.5,20190409,20190423,20190423,123,6.7,86.1,4.7,20190415,20190415,1.6,6.4,12.2,270,320,20190417,20190418,5.6,3.5,189.3,48.18,511.84,,,,,,4.1,-5.7,20190402,14.6,,,,,,,,,
146,2019-05,18.9,25.9,12.8,32.4,5.6,20190524,20190507,1005.2,1012.4,1020.3,1002.9,20190504,20190527,13.6,24.7,4.5,20190527,20190508,10.8,63,17,20190508,45.6,20,6.3,1.3,20190527,20190518,20190517,207.3,9,145.1,6.3,20190522,20190522,1.9,7,12.1,270,160,20190520,20190527,4.3,1.5,292.6,67.14,765.48,,,,,,9,3,20190510,23.5,,,,,,,,,
146,2019-06,21.9,27.2,17.8,32.9,12.7,20190625,20190601,1000.1,1007.2,1016,993.4,20190625,20190629,21.3,30.7,10.1,20190627,20190602,18.3,83,35,20190602,89.1,46.1,20.7,5.6,20190629,20190629,20190629,151.9,8.2,106.5,5.7,20190602,20190602,1.5,5.3,9.6,270,250,20190615,20190615,5.9,3.7,205.5,47.06,619.46,,,,,,16,9.7,20190601,27.2,,,,,,,,,
146,2019-07,25.6,29.9,22.3,34,18.9,20190706,20190703,999.1,1006.1,1012.3,994.9,20190716,20190720,28.7,40.1,18.4,20190725,20190706,23.1,88,39,20190706,176.2,44,29.5,10.9,20190721,20190725,20190725,132.9,9.4,93.3,6.6,20190706,20190706,1.5,5.2,9.6,90,250,20190706,20190721,7.2,4.8,148.7,33.46,518.47,,,,,,20.2,15.2,20190703,29.9,,,,,,,,,
146,2019-08,26.8,31.4,23.3,35.1,19.1,20190814,20190826,999.8,1006.8,1016.3,990.4,20190831,20190815,30.8,41.9,20,20190812,20190831,24.4,88,49,20190818,117.7,30.8,16.7,11.9,20190822,20190808,20190808,145.9,7.6,102,5.3,20190810,20190810,1.5,6,11.3,270,90,20190817,20190811,6.3,3.8,206.1,49.24,566.26,,,,,,21,16.3,20190831,29,,,,,,,,,
146,2019-09,22.7,27.3,19,31.8,12.6,20190910,20190919,1006.9,1014,1024.2,990.4,20190926,20190907,24.6,36.9,11.7,20190906,20190918,20.5,89,42,20190917,194.8,70,15.2,3.9,20190922,20190922,20190902,102.4,6.1,71.8,4.3,20190918,20190918,1.4,9.3,21.2,160,140,20190907,20190907,6.6,4.4,148.4,39.79,419.23,,,,,,16.3,8.3,20190919,25.4,,,,,,,,,
146,2019-10,16.6,21.9,12.4,27.9,6.3,20191004,20191028,1011.3,1018.6,1028.9,996.5,20191015,20191003,15.3,29.7,7.3,20191003,20191028,12.7,80,34,20191029,73,55.2,7.9,2.5,20191002,20191002,20191002,100.8,5.5,70.5,3.8,20191012,20191012,1.4,6.5,10.4,270,270,20191008,20191008,4.7,3.1,202.4,57.78,415.98,,,,,,7.6,-.3,20191027,18.5,,,,,,,,,
