,지역,발전량_2018,발전량_2019,발전량_2020,발전량_2021,인구밀도_2018,인구밀도_2019,인구밀도_2020,인구밀도_2021
0,강원,241291208.957,316167972.706,411014467.168,561745715.936,90.3,90.3,90.4,90.4
1,경기,147677214.006,178376657.378,233246718.088,306276022.186,1286.2,1305.0,1325.3,1338.9
2,경남,232486741.975,282995741.627,325963548.231,388484413.629,317.9,317.6,316.2,313.6
3,경북,384211697.42,487859397.167,576842137.898,672385557.155,140.4,140.2,138.9,138.4
4,광주,49377803.417,61300463.154,69891537.664,69681333.167,2973.2,2972.7,2948.5,2944.0
5,대구,37357320.391,45064058.059,47165173.073,55582183.798,2766.7,2750.3,2728.6,2702.2
6,대전,13574496.384,13218523.908,13125060.89,14599629.475,2801.0,2777.5,2758.1,2742.8
7,부산,66674750.472,70460796.802,77017994.764,92964109.258,4409.8,4379.7,4348.9,4316.4
8,서울,15046213.858,15309102.858000001,16397600.364,16981999.222,15983.7,15926.9,15839.0,15650.1
9,세종,14702450.433,16673956.756,23303083.867,26117069.699,671.9,727.3,761.3,787.7
10,울산,18240691.44,21627561.024,35002620.094,44469650.347,1083.4,1076.9,1069.0,1055.0
11,인천,32853229.303,35676530.669,41408712.199,52479803.291,2761.4,2776.6,2765.1,2772.8
12,전남,876233490.396,980441139.848,1500977750.277,2106583481.137,145.0,144.8,144.9,143.9
13,전북,213258075.557,313275510.329,375048168.147,480059856.19,225.3,224.0,223.4,221.4
14,제주,170653558.501,267391217.364,339422609.762,358836187.228,355.8,359.4,362.6,363.8
15,충남,415474262.912,563284757.827,755441118.009,857139654.761,265.1,265.4,264.0,263.8
16,충북,134856482.536,180675105.616,238263059.1,286067379.67,218.8,220.0,220.3,219.4
