기간,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최대,최소,가중평균
2021/12/31,146.33,145.78,140.13,139.11,146.33,142.06,154.4,154.44,154.7,154.7,154.61,153.83,148.81,155.32,155.32,155.19,155.59,152.77,152.77,146.25,146.33,144.19,143.73,146.33,155.59,139.11,150
2021/12/30,142.11,145.98,146.33,137.76,137.24,139.48,141,153.56,153.56,153.56,153.56,150.53,146.35,152.86,152.86,154.15,156.42,155.13,154.17,152.21,146.33,144.31,142.61,146.33,156.42,137.24,148.8
2021/12/29,146.33,139.18,146.33,142.75,137.11,139.48,143.88,151.76,151.77,153.38,153.26,153.14,152.9,152.9,152.9,152.9,153.14,151.81,150.58,146.67,144.93,146.33,141.56,146.33,153.38,137.11,148.43
2021/12/28,146.33,140.27,138.93,137.39,141.35,146.33,145.74,147.28,150.11,150.11,150,148.41,144.83,149.19,153.93,153.69,153.93,153.93,148.78,148.79,144.49,146.33,141.21,146.33,153.93,137.39,147.35
2021/12/27,119.2,104.62,104.62,104.62,104.62,106.84,145.79,153.23,154.64,154.64,154.19,148.94,143.39,146.89,150.58,150.58,153.56,151.21,149.23,148.75,144.98,145.02,140.99,146.51,154.64,104.62,140.9
2021/12/26,140.17,138.64,132.68,112.77,112.83,132.59,144.77,142.91,144.77,135.05,120.25,106.06,83.62,103.23,106.06,119.66,141.77,143.13,144.77,144.77,143.13,142.99,141.44,141.44,144.77,83.62,130.87
2021/12/25,145.32,145.5,146.49,140.33,140.4,140.54,143.36,145.44,146.49,144.83,142.89,142.6,137.77,138.21,140.03,142.76,146.51,146.55,146.55,146.56,144.77,141.83,141.89,144.77,146.56,137.77,143.51
2021/12/24,140.64,139.31,137.94,137.5,138.23,140.41,145.29,149.53,151.68,151.68,149.04,147.38,144.77,147.6,149.55,149.2,150.71,150.75,149.4,146.25,145.89,145.48,143.09,145.89,151.68,137.5,146.1
2021/12/23,141.84,137.97,127.94,132.95,135.74,139.55,144.79,148.71,151.55,151.55,149.11,149.07,143.78,147.26,148.98,149.28,149.79,149.82,149.35,148.37,145.68,143.43,145.42,145.42,151.55,127.94,145.43
2021/12/22,140.85,138.23,137.78,137.61,138.21,139.63,149.05,148.78,152.17,152.1,149.02,147.5,143.83,146.29,147.47,148.99,149.95,149.98,149.05,149.23,145.29,144.03,141.64,141.64,152.17,137.61,145.72
