지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
165,2018-01-01 0:00,2.3,,1.7,340,84,6.1,-0.1,1021.4,1026.2,,,,,8,8,Sc,18,1078,,,2.8,4.9,5.2,6.2,6.7
165,2018-01-01 1:00,2.3,,2.4,20,89,6.4,0.6,1021.6,1026.4,,,,,,,,10,1341,,,2.6,4.8,5.1,6.2,6.6
165,2018-01-01 2:00,1.9,,1.8,20,79,5.6,-1.3,1021.6,1026.4,,,,,,7,,12,1755,,,2,4.6,5,6.1,6.5
165,2018-01-01 3:00,1.6,,2.1,20,82,5.6,-1.1,1022.1,1026.9,,,,,5,5,Sc,17,1807,,,2.1,4.4,4.9,6,6.5
165,2018-01-01 4:00,1.4,,1.9,20,78,5.3,-2,1022.1,1026.9,,,,,7,7,Sc,16,1968,,,1.9,4.2,4.8,6,6.5
165,2018-01-01 5:00,1.1,,2,20,76,5,-2.6,1021.9,1026.7,,,,,2,2,Sc,19,1974,,,0.7,4.1,4.6,5.9,6.4
165,2018-01-01 6:00,0.8,,2.1,50,72,4.7,-3.6,1021.6,1026.4,,,,,2,2,Sc,17,2000,,,0.6,3.8,4.5,5.8,6.4
165,2018-01-01 7:00,0.6,,1.8,90,73,4.7,-3.6,1022.4,1027.2,,,,,9,9,Sc,16,2000,,,1.1,3.6,4.3,5.7,6.3
165,2018-01-01 8:00,0.1,,0.9,110,69,4.2,-4.9,1023.2,1028.1,0,0.01,,,3,3,Sc,15,2000,,,0.8,3.5,4.2,5.7,6.3
165,2018-01-01 9:00,1.3,,1,160,69,4.6,-3.7,1023.9,1028.7,0.6,0.25,,,4,4,Sc,17,2000,,,1.8,3.6,4.1,5.6,6.2
165,2018-01-01 10:00,3.1,,0.4,0,60,4.6,-3.9,1024.5,1029.3,1,0.74,,,3,3,Sc,16,1929,,,3,3.8,4.1,5.5,6.1
165,2018-01-01 11:00,4.1,,2.6,340,59,4.8,-3.2,1024.7,1029.5,1,1.18,,,0,0,,,1925,,,3.9,4.1,4.3,5.4,6.1
165,2018-01-01 12:00,4.8,,3.1,360,56,4.8,-3.2,1024.2,1029,1,1.5,,,0,0,,,2000,,,5.6,4.7,4.5,5.4,6
165,2018-01-01 13:00,5.3,,4.2,360,56,5,-2.7,1023.4,1028.2,1,1.61,,,0,0,,,1940,,,7.8,5.2,4.8,5.5,6
165,2018-01-01 14:00,5.6,,4.1,20,59,5.4,-1.7,1023,1027.8,1,1.55,,,0,0,,,1996,,,7.7,5.8,5.1,5.6,6
165,2018-01-01 15:00,5.7,,3.7,20,59,5.4,-1.7,1023.3,1028.1,1,1.28,,,0,0,,,1998,,,6.6,6.2,5.4,5.7,6.1
165,2018-01-01 16:00,5.7,,3.7,20,58,5.3,-1.9,1023.5,1028.3,1,0.88,,,0,0,,,1984,,,5.7,6.4,5.6,5.8,6.2
165,2018-01-01 17:00,4.9,,3.8,360,59,5.1,-2.4,1023.3,1028.1,1,0.39,,,0,0,,,2000,,,4.3,6.4,5.7,6,6.3
165,2018-01-01 18:00,4,,2.9,360,67,5.5,-1.5,1023.5,1028.3,0.2,0.04,,,0,0,,,1993,,,3,6,5.7,6.1,6.4
165,2018-01-01 19:00,2.8,,1.6,50,72,5.4,-1.7,1023.7,1028.5,,,,,,0,,,1990,,,2.1,5.5,5.5,6.1,6.4
165,2018-01-01 20:00,1.8,,2.1,20,74,5.2,-2.3,1023.6,1028.4,,,,,,0,,,1947,,,1.5,5,5.2,6.1,6.4
165,2018-01-01 21:00,1.2,,1.1,360,81,5.4,-1.7,1024.1,1028.9,,,,,0,0,,,1739,,,0.9,4.6,5,6.1,6.5
165,2018-01-01 22:00,0.7,,0.2,0,86,5.6,-1.3,1024.7,1029.6,,,,,,0,,,1693,,,0.6,4.2,4.7,6,6.4
165,2018-01-01 23:00,0.6,,0.9,360,84,5.4,-1.7,1025.2,1030.1,,,,,,0,,,1630,,,0.6,4,4.5,5.9,6.4
165,2018-01-02 0:00,0.5,,0.7,50,96,6.1,0,1025.2,1030.1,,,,,0,0,,,1297,,,0.5,3.7,4.3,5.8,6.4
165,2018-01-02 1:00,0.3,,0.4,0,91,5.7,-1,1025.1,1030,,,,,,0,,,1427,,,0.3,3.5,4.1,5.7,6.3
165,2018-01-02 2:00,-0.3,,1.4,160,84,5,-2.6,1025,1029.9,,,,,,0,,,1641,,,0,3.4,4,5.6,6.3
165,2018-01-02 3:00,-0.8,,1.3,160,86,5,-2.8,1024.8,1029.7,,,,,0,0,,,1438,,,-0.1,3.1,3.8,5.5,6.2
165,2018-01-02 4:00,-1.2,,2.2,160,94,5.3,-2,1024.6,1029.5,,,,,0,0,,,1145,,,-0.3,3,3.6,5.4,6.1
165,2018-01-02 5:00,-1.6,,0.9,160,88,4.8,-3.3,1024.2,1029.1,,,,,0,0,,,1349,,,-0.4,2.9,3.5,5.3,6
165,2018-01-02 6:00,-1.7,,1.8,160,98,5.3,-1.9,1024.7,1029.6,,,,,4,0,Ci,,875,,19,-0.5,2.8,3.4,5.2,5.9
165,2018-01-02 7:00,-1.9,,0.9,160,95,5.1,-2.5,1025.1,1030,,,,,0,0,,,1099,,19,-0.7,2.7,3.3,5.1,5.8
165,2018-01-02 8:00,-2.1,,0.8,160,98,5.2,-2.3,1025.4,1030.3,0,0.01,,,0,0,,,967,,19,-0.7,2.5,3.2,5,5.8
165,2018-01-02 9:00,-0.8,,1.7,180,88,5.1,-2.5,1025.4,1030.3,0.4,0.25,,,0,0,,,961,,19,0,2.6,3.1,5,5.7
165,2018-01-02 10:00,1.4,,2.2,160,81,5.5,-1.5,1025.2,1030,1,0.72,,,0,0,,,1254,,19,1.1,2.7,3.1,4.9,5.7
165,2018-01-02 11:00,3.5,,1,180,68,5.4,-1.8,1025.5,1030.3,1,1.06,,,0,0,,,1124,,,4,2.9,3.2,4.8,5.6
165,2018-01-02 12:00,5.4,,1.8,250,67,6,-0.2,1025.1,1029.9,1,1.31,,,0,0,,,1074,,,6.6,3.5,3.5,4.8,5.5
165,2018-01-02 13:00,6.3,,2,290,67,6.4,0.6,1024.1,1028.8,1,1.38,,,0,0,,,1229,,,8.6,4.4,4,4.8,5.5
165,2018-01-02 14:00,7.2,,3.5,290,68,6.9,1.6,1023.3,1028,1,1.36,,,0,0,,,1155,,,8.8,5.2,4.5,4.9,5.5
165,2018-01-02 15:00,7.7,,5.8,320,63,6.6,1,1023.3,1028,1,1.1,,,3,0,Ci,,1331,,,7.7,5.8,5,5.1,5.6
165,2018-01-02 16:00,7.3,,6.4,320,66,6.7,1.3,1023.2,1027.9,1,0.73,,,4,0,Ci,,1212,,,6.5,6,5.3,5.3,5.7
165,2018-01-02 17:00,6.8,,4.9,320,72,7.1,2,1023.4,1028.1,0.4,0.26,,,6,3,ScCi,12,1215,,,5.6,6,5.4,5.5,5.9
165,2018-01-02 18:00,6.6,,4,320,80,7.7,3.3,1024,1028.7,0,0,,,10,7,ScAs,9,1058,,,5.3,5.9,5.5,5.6,6
165,2018-01-02 19:00,5.7,,4.9,360,96,8.8,5.1,1023.4,1028.2,,,,,,5,,5,743,,19,5.1,5.8,5.5,5.7,6.1
165,2018-01-02 20:00,4.6,,5,360,98,8.3,4.3,1023.9,1028.7,,,,,,1,,10,579,,19,4.3,5.7,5.5,5.8,6.1
165,2018-01-02 21:00,3.8,,4.8,20,83,6.6,1.1,1023.7,1028.5,,,,,9,9,Sc,11,647,,19,3.1,5.5,5.4,5.8,6.2
165,2018-01-02 22:00,2.8,,5.3,360,78,5.8,-0.6,1024.1,1028.9,,,,,,9,,13,735,,19,2.2,5.1,5.2,5.8,6.2
165,2018-01-02 23:00,2.4,,4.5,360,67,4.9,-3.1,1024.7,1029.5,,,,,,5,,17,1547,,19,1.6,4.8,5,5.8,6.2
165,2018-01-03 0:00,2.3,,5.4,360,67,4.8,-3.2,1025,1029.8,,,,,3,3,Ac,42,2000,,,1.5,4.5,4.8,5.8,6.2
165,2018-01-03 1:00,2.1,,5.8,360,74,5.3,-2,1024.9,1029.7,,,,,,9,,41,2000,,,1.3,4.3,4.6,5.7,6.2
165,2018-01-03 2:00,2.3,,6.2,360,73,5.3,-2,1024.9,1029.7,,,,,,10,,43,2000,,,1.1,4.1,4.5,5.6,6.1
165,2018-01-03 3:00,2.4,,7.3,360,75,5.5,-1.5,1025.5,1030.3,,,,,9,9,Ac,43,2000,,,1.2,3.9,4.3,5.6,6.1
165,2018-01-03 4:00,2,,6.7,360,79,5.6,-1.2,1025.5,1030.3,,,,,7,1,ScAc,9,2000,,,1.1,3.8,4.2,5.5,6.1
165,2018-01-03 5:00,1.3,,6.7,360,77,5.2,-2.2,1025.6,1030.4,,,,,8,8,Ac,45,2000,,,0.4,3.6,4.1,5.4,6
165,2018-01-03 6:00,0.6,,8.7,360,76,4.9,-3.1,1025.8,1030.7,,,,,7,7,Ac,45,2000,,,0,3.4,3.9,5.4,6
165,2018-01-03 7:00,0.2,,5.3,360,78,4.9,-3.1,1026.1,1031,,,,,1,1,Sc,10,2000,,,-0.2,3.2,3.8,5.3,5.9
165,2018-01-03 8:00,-0.1,,4.3,360,82,5,-2.8,1027,1031.9,0,0.01,,,2,2,Ac,45,2000,,,-0.3,3,3.6,5.2,5.9
165,2018-01-03 9:00,0,,3.5,20,77,4.7,-3.5,1027,1031.9,0.8,0.28,,,5,5,Sc,9,1965,,,1,3,3.5,5.1,5.8
165,2018-01-03 10:00,0.8,,4.9,360,74,4.8,-3.3,1027.6,1032.5,1,0.82,,,5,0,Ci,,1910,,,2.8,3.3,3.5,5.1,5.8
165,2018-01-03 11:00,1.2,,5.4,360,71,4.8,-3.4,1027.8,1032.7,1,1.23,,,3,1,ScCi,10,1963,,,2.9,3.6,3.7,5,5.7
165,2018-01-03 12:00,1.9,,7.9,360,67,4.7,-3.5,1027.1,1031.9,1,1.53,,,5,5,Sc,8,1913,,,4.2,4,3.9,5,5.7
165,2018-01-03 13:00,2.2,,7.2,360,69,4.9,-2.9,1025.8,1030.6,1,1.52,,,6,6,Sc,9,2000,,,6.6,4.3,4,5,5.7
