지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
146,2019-01-01 00:00,-3.4,,1.5,140,58,2.8,-10.4,1027.6,1035.6,,,,,8,8,Sc,12,1606,,,-1.3,,,,
146,2019-01-01 01:00,-2.9,,.7,140,57,2.8,-10.2,1027.4,1035.4,,,,,1,1,,11,1474,,,-1.2,,,,
146,2019-01-01 02:00,-2.4,,.3,0,58,3,-9.5,1027.6,1035.6,,,,,4,4,,11,1507,,,-1.1,,,,
146,2019-01-01 03:00,-2.6,,.9,340,63,3.2,-8.6,1027.8,1035.8,,,,,7,7,Sc,11,1261,,,-1,,,,
146,2019-01-01 04:00,-2.6,,.6,360,60,3,-9.3,1027.4,1035.4,,,,,7,7,Sc,10,1423,,,-1,,,,
146,2019-01-01 05:00,-2.5,,.2,0,63,3.2,-8.5,1027.1,1035.1,,,,,9,9,Sc,11,1283,,,-1.1,,,,
146,2019-01-01 06:00,-2.1,,.8,90,61,3.2,-8.6,1026.8,1034.7,,,,,9,9,Sc,9,1336,,,-1,,,,
146,2019-01-01 07:00,-2.1,,.7,70,63,3.3,-8.2,1026.4,1034.3,,,,,9,9,Sc,12,1428,,,-1.1,,,,
146,2019-01-01 08:00,-2,,.8,20,63,3.3,-8.1,1026.3,1034.2,0,0,,,9,9,Sc,10,1529,,,-1,,,,
146,2019-01-01 09:00,-1.3,,.2,0,64,3.6,-7.2,1026.4,1034.3,0,.1,,,9,9,Sc,12,1773,,,-.5,,,,
146,2019-01-01 10:00,-.3,,.7,180,62,3.7,-6.7,1026.7,1034.6,0,.29,,,9,9,Sc,14,1886,,,.1,,,,
146,2019-01-01 11:00,.7,,.6,200,59,3.8,-6.4,1026.5,1034.4,0,.62,,,8,8,Sc,9,2000,,,1.6,,,,
146,2019-01-01 12:00,1.5,,1.1,340,60,4.1,-5.4,1025.3,1033.1,.7,1.51,,,7,7,Sc,8,1984,,,3.2,,,,
146,2019-01-01 13:00,1.2,,3,270,68,4.5,-4,1024.4,1032.2,.3,1.01,,,8,8,CuSc,9,906,,08,1.9,,,,
