지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
165,2021-01,2,5.7,-1.6,15.2,-12.8,20210115,20210108,1019.2,1024.8,1035.2,1014.8,20210103,20210115,5.5,11.4,1.7,20210121,20210108,-2.7,73,32,20210127,39.7,13.2,,,20210123,,,55.8,3.3,39,2.3,20210118,20210118,3.6,12.9,19.1,340,320,20210128,20210128,6.3,5,175.4,55.88,275.67,12.1,7.2,29.3,20210109,20210109,-3.3,-12.7,20210108,3,3.7,4.6,4.5,4.8,5.9,7.2,9.2,13.5,15.8
165,2021-02,4.9,8.9,1.2,20.1,-4.9,20210221,20210217,1016.5,1022.1,1031.2,1010.8,20210209,20210215,6.2,13.7,2.7,20210222,20210205,-.7,69,25,20210205,25.9,13.3,,,20210225,,,71.8,4.9,50.1,3.4,20210221,20210221,4.3,14,19.1,340,340,20210208,20210217,5.3,3.2,170.5,55.65,330.45,2.2,1.4,4.1,20210217,20210216,-1.2,-7.2,20210217,5.1,5.4,6.1,5.9,6,6.8,7.3,8.7,12,14.5
165,2021-03,9.2,13.8,5.7,22,.3,20210326,20210303,1014.6,1020.1,1031.5,1005,20210303,20210328,8.8,17.7,4.4,20210327,20210309,4.7,76,23,20210326,127.4,41.7,,,20210327,,,104.6,5.9,72.7,4.1,20210326,20210326,3.7,13.9,18.7,340,340,20210321,20210321,5.6,3.3,223.5,60.15,500.49,,,,,,3.4,-2.9,20210303,10.8,10.4,10.8,10.3,10.4,10.6,10,10.1,11.7,13.7
165,2021-04,13.9,18.1,10,24.9,4.8,20210423,20210415,1013.3,1018.7,1032.1,1002.4,20210411,20210429,9.6,18.8,2.9,20210403,20210411,5.8,63,11,20210411,51.9,32,5,2.7,20210412,20210412,20210429,162.7,8.9,113.8,6.2,20210423,20210423,3.7,12.7,17.3,180,180,20210429,20210429,5.2,3.4,241,61.43,599.12,,,,,,6.8,-.6,20210415,16.5,14.9,15,14.5,14.5,14.3,13.2,12.8,12.5,13.5
165,2021-05,17.6,21.7,13.9,27.7,8.2,20210531,20210506,1004.8,1010.1,1021.4,1000.3,20210503,20210528,14.4,26,6,20210515,20210506,11.9,72,21,20210530,112.3,33.5,14.2,8.4,20210515,20210516,20210515,165.7,9.8,115.9,6.8,20210530,20210530,3.4,9.3,12.9,320,340,20210501,20210501,5.6,3.4,239.6,55.21,630.9,,,,,,10.8,3.7,20210503,20.1,19.1,19.3,18.6,18.6,18.3,16.6,15.8,13.8,13.8
165,2021-06,22.7,26.4,19.7,30.2,16.1,20210609,20210605,1002.8,1008,1016.1,999.2,20210608,20210615,21.1,26,11.1,20210610,20210604,18.2,78,36,20210604,108.3,45.1,19,4.7,20210610,20210610,20210611,165.7,8.5,115.7,6,20210609,20210609,2.7,10.1,13.3,360,360,20210603,20210603,6.1,3.4,243.9,56.2,627.6,,,,,,17.6,13,20210605,26.7,24.5,24.4,23.6,23.6,23,20.6,19.1,15.8,14.6
165,2021-07,26.8,30.2,24.1,33.6,19.7,20210721,20210705,1003,1008.1,1015.6,1000,20210716,20210730,27.5,34.2,20.5,20210730,20210705,22.6,79,47,20210725,327.5,154.5,32.2,11.9,20210706,20210706,20210716,169.5,8.6,118.8,6,20210715,20210715,2.9,10.5,12.9,140,110,20210716,20210716,6.7,3.9,217.2,49.22,574.31,,,,,,22.4,18.1,20210701,29.6,27.4,27.3,26.5,26.4,26.1,23.7,22,17.9,15.6
165,2021-08,26.4,29.7,23.8,32.6,20.8,20210804,20210819,1003.3,1008.3,1016.9,999.1,20210830,20210824,27.7,34,19.4,20210802,20210817,22.7,81,49,20210816,124.4,33.6,14.9,8.8,20210821,20210821,20210802,149.8,7.8,104.7,5.5,20210809,20210809,2.7,10.7,16.2,230,230,20210821,20210821,6.7,4,190.6,45.74,521.78,,,,,,21.9,19.2,20210819,28.5,27.4,27.8,27,27.1,26.6,25.3,24.1,20.1,17.2
165,2021-09,23.4,26.7,20.7,29.3,17.6,20210915,20210924,1007.7,1012.8,1023.5,1004.2,20210925,20210917,22.5,31.7,15.2,20210901,20210924,19.3,79,43,20210915,91.4,43.7,31.6,9.7,20210921,20210921,20210921,122.2,6.4,85.7,4.4,20210915,20210915,2.9,9.2,12,140,140,20210906,20210906,6.7,4.2,158.6,42.67,416.72,,,,,,18.6,14.1,20210924,24.1,24.1,24.6,24,24.1,23.9,23.6,23.4,21,18.4
165,2021-10,17.7,21.8,14.3,29.8,5.6,20211009,20211017,1015.8,1021.1,1029.6,1008.1,20211023,20211001,15.5,27.7,4,20211010,20211018,12.2,72,31,20211023,14.7,4.3,3.6,2.1,20211015,20211019,20211019,125.8,5.7,88.3,4,20211003,20211003,3.2,14.9,19.1,360,360,20211016,20211016,4.8,2.8,223,63.61,433.2,,,,,,10.9,1.8,20211018,18.5,18.8,19.6,19.3,19.5,19.7,20.9,21.4,20.7,19
