지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(null),소형일최대증발량(null),대형총증발량(null),대형일최대증발량(null),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(null),평균중하층운량(null),일조시간합(null),일조율(null),전천일사합(null),최심적설(null),최심신적설(null),3시간신적설합(null),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
146,2018-01,-1.5,2.8,-5.2,10.1,-15,20180122,20180127,1016.9,1024.7,1034.1,1009.6,20180112,20180108,4,8.8,.7,20180115,20180124,-7.2,68,24,20180127,28.4,6.7,,,20180117,,,44.5,2.1,28.7,1.5,20180130,20180130,1.7,7,12.7,340,250,20180123,20180109,4.7,3.6,178.3,57.22,288.19,12.8,7.7,22.4,20180110,20180110,-9.8,-19.1,20180127,.4,,,,,,,,,
146,2018-02,.4,6.2,-4.3,14.7,-11.6,20180227,20180207,1016.2,1024,1031.5,994.5,20180202,20180228,3.5,9.5,1.1,20180228,20180206,-8.5,54,16,20180225,21.5,19.8,,,20180228,,,67.9,4,47.4,2.8,20180226,20180226,1.9,7.9,14.2,340,90,20180228,20180228,4.5,2.6,197.3,64.71,369.12,2,1.9,-993.7,20180213,20180211,-12.5,-20.4,20180207,1.2,,,,,,,,,
146,2018-03,9,15.3,3.7,24.6,-4.8,20180314,20180302,1012.6,1020.1,1030.5,1003.1,20180307,20180301,8.6,18.2,2.5,20180315,20180303,4,74,13,20180303,98,20.6,,,20180305,,,103.7,5.5,72,3.9,20180331,20180331,1.9,7.5,12.2,270,270,20180301,20180301,4.6,3.5,209.4,56.43,487.52,2,2,2,20180321,20180321,-1.8,-12.2,20180302,9.6,,,,,,,,,
146,2018-04,14,20.3,8.7,28.4,0,20180420,20180408,1008.4,1015.8,1023.7,1004.7,20180413,20180414,11,20.8,3.3,20180422,20180407,7.5,69,13,20180419,98.7,24.1,5.3,1.9,20180406,20180414,20180405,139.9,7,97.9,4.9,20180429,20180429,2,8.4,14.4,230,290,20180408,20180406,4.8,3.1,219.8,55.93,568.67,,,,,,3.4,-4,20180408,15,,,,,,,,,
146,2018-05,18.9,24.7,13.8,30.3,7.8,20180515,20180504,1004.3,1011.5,1025.5,1002.4,20180510,20180518,16.8,30.4,6.6,20180517,20180504,14,77,25,20180520,122.1,35.2,16.2,8.3,20180502,20180502,20180502,152,8.3,106.2,5.8,20180524,20180524,1.8,7.9,13.6,270,250,20180503,20180503,5.7,3.5,204.9,47,606,,,,,,9.2,.7,20180504,21.9,,,,,,,,,
146,2018-06,23.1,29,18.7,34.8,15.2,20180625,20180601,1000.8,1007.8,1017,998.1,20180602,20180628,22,32.6,13.5,20180626,20180603,18.8,79,30,20180603,137.2,75.6,26.6,9.9,20180627,20180627,20180626,162.2,8.4,113.9,5.9,20180602,20180602,1.5,5.4,11,250,180,20180603,20180626,5.6,3.6,206.4,47.25,626.09,,,,,,15,9.6,20180601,29,,,,,,,,,
146,2018-07,27.8,32.7,23.9,36.8,18.3,20180731,20180707,1001.4,1008.3,1015.7,993.6,20180711,20180703,31,38.9,20.5,20180721,20180707,24.5,84,49,20180731,169.1,107.4,26.7,9.2,20180701,20180701,20180701,184.1,8.5,129.2,6,20180729,20180729,1.5,5.6,10.4,340,320,20180729,20180701,4.8,3.9,256.6,57.75,682.56,,,,,,21.9,17.2,20180707,34,,,,,,,,,
146,2018-08,28.6,33.7,24.7,38.9,19.8,20180813,20180831,1000,1006.9,1013.1,985.9,20180826,20180824,30.9,38.2,16.9,20180807,20180818,24.5,81,38,20180818,368.9,99.2,42,14.2,20180826,20180831,20180831,172.4,8.9,120.7,6.2,20180817,20180817,1.8,6.3,11.6,250,90,20180824,20180822,5.7,3.8,225.2,53.82,583.99,,,,,,21.5,15.8,20180818,35.5,,,,,,,,,
146,2018-09,21.7,26.6,17.6,31,10.4,20180903,20180925,1005.8,1012.9,1021.5,995.2,20180911,20180904,21,34.2,10.1,20180903,20180924,17.9,81,40,20180925,101.8,56.9,26.6,11.3,20180903,20180903,20180903,122.2,6.3,85.8,4.4,20180901,20180901,1.5,6.4,11.9,290,340,20180930,20180930,5.8,3.8,180.3,48.39,472.4,,,,,,13.8,6.4,20180925,23.6,,,,,,,,,
146,2018-10,13.9,19.3,9.2,26.7,4.4,20181004,20181030,1011.6,1019,1027.7,994.7,20181012,20181006,12.3,22.9,6.7,20181006,20181030,9.6,78,34,20181017,123.2,68.5,12,5,20181005,20181005,20181005,100.4,5.1,70.5,3.6,20181003,20181003,1.7,8.3,14.9,230,230,20181028,20181028,4,2.8,221,63.11,432.22,,,,,,4.8,-.2,20181030,16.7,,,,,,,,,
