지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
146,2021-01,.5,5.5,-4.1,14.4,-16.5,20210124,20210108,1017.1,1024.8,1035.5,1013.8,20210103,20210115,4.6,11.2,1.2,20210122,20210108,-5.7,65,22,20210127,28.7,8.3,,,20210121,,,49.5,3.2,34.7,2.2,20210127,20210127,1.6,8.8,15,290,270,20210128,20210118,4.8,3.4,174.2,55.89,270.69,11.9,7,24.2,20210107,20210106,-7.2,-14,20210106,1.8,,,,,,,,,
146,2021-02,4.3,10,-.7,22.9,-8.6,20210221,20210218,1014.3,1021.8,1031.3,1009.8,20210209,20210221,5,11.2,1.4,20210201,20210203,-3.9,58,17,20210224,13.7,4.3,,,20210225,,,72.5,6.4,50.9,4.5,20210221,20210221,1.8,8.4,14.8,270,270,20210215,20210215,4.4,2.5,187.7,61.5,337.04,1.8,1.8,5.1,20210204,20210204,-7.4,-12.7,20210203,4.4,,,,,,,,,
146,2021-03,9.5,15.8,4.5,23.7,-.9,20210331,20210303,1012.3,1019.7,1031.6,1002.5,20210303,20210328,7.8,16.6,3,20210327,20210331,3,68,11,20210331,95.7,42.5,,,20210301,,,104.4,6.8,73.1,4.8,20210331,20210331,1.7,7.6,12.8,270,270,20210321,20210321,5.3,3,194.8,52.46,450.85,,,,,,-1.4,-7,20210303,10.3,,,,,,,,,
146,2021-04,14.4,20.9,9,28.6,2.4,20210421,20210415,1010.9,1018.2,1031.7,1000.1,20210411,20210430,8.6,17.6,4.1,20210403,20210412,4.2,55,16,20210401,34.9,15,3.4,.9,20210412,20210403,20210403,159.3,8.3,111.4,5.8,20210401,20210401,1.9,7.5,17.8,270,230,20210417,20210429,5.4,3.2,235.1,59.75,576.5,,,,,,3,-3.4,20210415,15.5,,,,,,,,,
146,2021-05,17.7,23.3,12.6,30.8,6.4,20210514,20210503,1002.3,1009.4,1021,997.8,20210502,20210528,13.6,26,4.9,20210516,20210505,11,68,23,20210506,182.2,62.7,34.2,15.3,20210511,20210528,20210528,146.2,7.7,102.1,5.4,20210509,20210509,1.9,7.5,13.5,250,200,20210507,20210528,5.9,3.8,198.8,45.58,538.96,,,,,,9.3,1.7,20210506,19.6,,,,,,,,,
146,2021-06,23,28.3,18.9,33.6,14.2,20210609,20210605,1000.7,1007.6,1016.1,999.5,20210608,20210603,19.6,25.8,11.4,20210629,20210604,17.1,72,30,20210607,145.3,44,42.8,20.8,20210611,20210628,20210628,156.4,8.3,109.5,5.8,20210620,20210620,1.4,5.5,12.6,140,160,20210628,20210628,6.1,3.8,199.8,45.73,571.52,,,,,,16.5,10.6,20210605,25.8,,,,,,,,,
146,2021-07,27.2,32.1,23.5,36.3,20.5,20210723,20210705,1001,1007.8,1015.6,998.9,20210716,20210730,26.2,31.9,21,20210712,20210730,21.8,75,39,20210723,255.1,88.7,24.6,11.7,20210705,20210707,20210708,159.7,8.2,112,5.7,20210726,20210726,1.3,5.2,9.4,230,230,20210704,20210704,6.6,4,194.2,43.75,554.76,,,,,,21.1,17.6,20210701,29.6,,,,,,,,,
146,2021-08,25.9,30.5,22.4,34.6,19.4,20210805,20210829,1001.3,1008.1,1016.4,998.4,20210830,20210824,25.6,32.4,19.5,20210824,20210811,21.4,78,36,20210811,454.8,70.6,41.4,20.3,20210824,20210819,20210819,131.9,7,92.4,4.9,20210811,20210811,1.4,7.3,12.8,230,250,20210824,20210824,7,4.7,168.6,40.32,469.92,,,,,,21.5,18.4,20210820,28.1,,,,,,,,,
146,2021-09,22.9,27.4,19.2,30.2,15.8,20210916,20210924,1005.9,1012.8,1024.1,1004.2,20210925,20210921,20.5,28.4,14.5,20210901,20210923,17.8,75,43,20210923,162.1,41.2,28.4,18.9,20210921,20210901,20210901,115.3,7.8,80.7,5.4,20210915,20210915,1.4,6.1,10.4,250,250,20210921,20210921,6.2,3.7,155.2,41.69,407.92,,,,,,17.3,13.4,20210924,24.7,,,,,,,,,
146,2021-10,16.4,22.2,11.6,31.5,2.1,20211003,20211018,1013.9,1021.1,1030.3,1006.5,20211017,20211001,13.8,24.9,3.6,20211010,20211017,10.4,71,20,20211023,37,9.1,5.1,2.4,20211015,20211011,20211011,108.9,6,76.4,4.2,20211003,20211003,1.4,6.2,10.3,340,340,20211016,20211016,3.9,2.3,219.7,62.83,409.05,,,,,,8.5,-2,20211017,18.7,,,,,,,,,
